train	epoch 0:	1	0.0022481868509203196
train	epoch 0:	101	0.0030167556522266554
train	epoch 0:	201	0.002991407058451936
train	epoch 0:	301	0.0029587812924392496
train	epoch 0:	1	0.002325580921024084
train	epoch 0:	101	0.0030002176270608116
train	epoch 0:	201	0.0029445278356361447
train	epoch 0:	301	0.002958716068918077
val	epoch 0:	1	0.0010446335654705763
val	epoch 0:	101	0.002679498578620023
val	epoch 0:	201	0.0029453553690283155
val	epoch 0:	301	0.0028177805225971307
val	epoch 0:	final loss	181.5997534059182
train	epoch 1:	1	0.002638597507029772
